Date,R_Credicorp,R_Peru_Mercado,Precio_cobre,ETF_XLF
2021-01-01,-0.08715554961770727,-0.005007584075727859,0.016790512330964614,-0.012792291388456969
2021-02-01,0.06240341742257013,0.07707976546285841,0.13609914083965927,0.10980648544873459
2021-03-01,-0.15839888927375392,-0.08674154962056035,-0.022600599874651652,0.05245333135932519
2021-04-01,-0.13435815976393778,-0.0688039528334676,0.11235580197386559,0.06730736582493808
2021-05-01,0.14092648308830807,0.036514014422373856,0.0444323032303706,0.04660821130224208
2021-06-01,-0.12670652466456403,-0.12441389875431443,-0.08603134518030953,-0.03481881539543168
2021-07-01,-0.18197481492623163,-0.07053567625513618,0.04193391100766568,-0.0006911821560500903
2021-09-01,0.09426508086816479,-0.018418175928928537,-0.0911896893610679,0.02728074878989151
2021-10-01,0.15706320594843007,0.13001624460540967,0.06747583783853714,0.07453746782287113
2021-11-01,-0.09423091886307212,-0.04705960709460816,-0.022535263075020885,-0.05882497829578813
2021-12-01,0.03390993503093805,0.03364542666199128,0.04054146167152919,0.028309653573749857
2022-01-01,0.15978740752156154,0.12942190509826393,-0.03123474880920533,0.005035677841820365
2022-02-01,0.05455192133908949,0.05638192626455435,0.02887507484512083,-0.01392132770652187
2022-03-01,0.1278044034858563,0.06554263474785725,0.06500248349645668,-0.005205609893032993
2022-04-01,-0.21305611560670185,-0.15213655723049352,-0.0762023265323545,-0.1008181824383438
2022-06-01,-0.14392314854558605,-0.2247097938180244,-0.16822346053827186,-0.09284974824572712
2022-07-01,0.0761668808068217,0.049923480263930904,-0.035764540279678944,0.074711619569206
2022-08-01,-0.003949074888320712,-0.017534015742878488,-0.018444738076612024,-0.019772954636775673
2022-09-01,-0.04840226760168645,-0.03601830508956272,-0.02198211560383855,-0.08489530091028454
2022-10-01,0.17551227494913907,0.06812319301861232,-0.008314493748374596,0.11789269009853928
2022-11-01,0.04795689576080194,0.12204576727304163,0.08853601269377158,0.06632101421386004
2022-12-01,-0.12387442789000842,-0.03462213049327022,0.020173205500322963,-0.059867272391069454
2023-02-01,-0.0626630261771937,0.03020631240173663,0.07392959765193761,0.049735958346523994
2023-03-01,0.03826332714368932,0.0483965134011027,0.0017068937986942296,-0.10529829838709921
2023-04-01,0.02307193582039896,0.017561443339266798,-0.05882941072488221,0.03618429085439528
2023-05-01,-0.045529416817321755,-0.05261758452722299,-0.06374637348168966,-0.04343820424689777
2023-06-01,0.13646871346824743,0.040618128755604374,0.029844834552257227,0.059586630951984174
2023-07-01,0.06178729485042574,0.12285141034818647,0.06556545682175635,0.05141513253248091
2023-08-01,-0.10475939782886885,-0.05526616201328007,-0.05718047359099541,-0.027257278891653518
2023-09-01,-0.10000882016931296,-0.059493523584511585,-0.012402630651933536,-0.03582932819391343
2023-11-01,-0.01925118938105905,0.01447405240637544,0.027268380379104517,0.08355176427351718
2023-12-01,0.17762361984310182,0.11582158025546258,0.013360359965539036,0.04626629040986867
2024-01-01,-0.010055043095226396,-0.0005029148869756087,0.005653319949247617,0.03532362552908344
2024-02-01,0.14084819987824854,0.04331435095885537,-0.017578283791607818,0.03995486445217173
2024-03-01,-0.008521815380408125,0.10828654939634945,0.0431299070971175,0.04317888050896881
2024-04-01,-0.02280412898847668,0.041750906758153995,0.13113997254600487,-0.03892547505236346
2024-05-01,-0.001752561843110772,0.07111272091682241,0.009918938705272502,0.03122199414204099
2024-06-01,-0.01897679931484585,-0.08616158490136251,-0.04878475451320704,-0.012809804389834138
2024-07-01,0.05610405546208879,0.04579107787081043,-0.05392809386386974,0.06596335100168069
2024-08-01,0.04419183073019752,-0.01075809617584876,-0.003612253607696363,0.04471010558009587
2024-10-01,0.048202587126013365,0.06886183995151017,0.03984683874591692,0.019669088582411218
2024-11-01,0.007251088469797414,-0.0218055872692435,-0.055530061954062036,0.0994481116558057
2025-01-01,-0.012860589355635563,-0.02589076168956523,0.04351899258994667,0.006784508250660787
2025-02-01,-0.00043714830691285624,0.016252470965706974,0.05755591666244848,0.013700202406202965
2025-03-01,0.0170110458639745,0.06957897453135797,0.10613545987419486,-0.0464835797841333
2025-04-01,0.08260136152757339,0.009975236848082599,-0.09610731892619018,-0.01767987383467854
2025-05-01,0.04648183543847121,0.050796761017363426,0.0200821313532872,0.04413081621129056
2025-07-01,0.16715590396123822,0.06092215734473703,-0.0717217044728798,0.030714097024237174
2025-08-01,0.08179384046489584,0.1006216626334018,0.04249700957616729,0.030464972597556064
2025-09-01,0.034694395192730515,0.13376372639910186,0.06147695926215935,-0.0022251738762001034
2025-10-01,-0.020028032664358004,0.020599362791527635,0.05279579988968336,-0.024953309588628018
2025-11-01,-0.014627503250804523,0.026563478789120666,0.02341349041586978,0.01816517291614698
2025-12-01,0.10958932192005304,0.11531539136023465,0.08224316547634683,0.02664358510361167
2026-01-01,0.21777724578035218,0.18389390136586684,0.046334256723609586,-0.021094157737708306
2026-04-01,-0.09599132917929494,-0.08717930024096884,0.004905749904566971,-0.019691683951820773
2026-05-01,0.05538307048965949,0.07754875815597256,0.07060027800548138,-0.010606583316954847
2026-06-01,0.039861333425477465,-0.05290844095546026,-0.018248645133893657,0.017774387548557657
