Date,Credicorp,Peru_Mercado,Precio_cobre,ETF_XLF
2020-01,138.31163024902344,27.38986587524414,2.5199999809265137,26.646833419799805
2020-02,121.36582946777344,24.84493064880371,2.5460000038146973,23.649507522583008
2020-03,95.78974914550781,18.3553466796875,2.240000009536743,18.674610137939453
2020-04,114.2605972290039,20.104984283447266,2.3540000915527344,20.441614151000977
2020-05,105.67303466796875,21.711475372314453,2.426500082015991,20.99772834777832
2020-06,102.49102783203125,22.989896774291992,2.7135000228881836,20.8879451751709
2020-07,97.5071792602539,24.671886444091797,2.8589999675750732,21.691328048706055
2020-08,100.04510498046875,25.4643611907959,3.0409998893737793,22.62108612060547
2020-09,95.06891632080078,23.855146408081055,3.0285000801086426,21.846939086914062
2020-10,87.93051147460938,23.693418502807617,3.0434999465942383,21.656335830688477
2020-11,118.00997924804688,27.008880615234375,3.4205000400543213,25.305051803588867
2020-12,125.76181030273438,28.19656753540039,3.5139999389648438,26.90080451965332
2021-01,115.26502990722656,27.903871536254883,3.573499917984009,26.417173385620117
2021-02,122.68711853027344,30.139751434326172,4.0945000648498535,29.483205795288086
2021-03,104.71458435058594,27.63556480407715,4.002999782562256,31.208690643310547
2021-04,91.54955291748047,25.798067092895508,4.479000091552734,33.23427200317383
2021-05,105.4046630859375,26.757469177246094,4.682499885559082,34.819915771484375
2021-06,92.8606948852539,23.830371856689453,4.296500205993652,33.7615966796875
2021-07,77.4107437133789,22.018081665039062,4.480500221252441,33.60517120361328
2021-08,81.7582015991211,22.04268455505371,4.360000133514404,35.335121154785156
2021-09,86.03168487548828,21.616262435913086,4.090000152587891,34.68406677246094
2021-10,100.54867553710938,24.617610931396484,4.375500202178955,37.20705795288086
2021-11,91.50658416748047,23.48595428466797,4.2779998779296875,35.08146667480469
2021-12,94.66278076171875,24.86684799194336,4.454999923706055,36.26171875
2022-01,111.06417083740234,27.64568519592285,4.317999839782715,36.270992279052734
2022-02,117.291259765625,29.249189376831055,4.444499969482422,35.76955795288086
2022-03,133.28164672851562,31.230470657348633,4.743000030517578,35.723060607910156
2022-04,107.70634460449219,26.822948455810547,4.394999980926514,32.171260833740234
2022-05,112.25608825683594,25.9918155670166,4.295000076293945,33.066200256347656
